AVG - OSWALDO GUEVARA MUJICA,ACARIGUA / VE,NACIONAL
BER - BRANDENBURG,BERLIN / DE,INTERNACIONAL
SXF - SCHOENEFELD,BERLIN / DE,INTERNACIONAL
TXL - TEGEL,BERLIN / DE,INTERNACIONAL
DUB - DUBLIN INTERNATIONAL,DUBLIN / IE,INTERNACIONAL
DWH - DAVID WAYNE HOOKS MEM,HOUSTON / USTX,INTERNACIONAL
EFD - ELLINGTON,HOUSTON / USTX,INTERNACIONAL
IAH - GEORGE BUSH INTERCONT,HOUSTON / USTX,INTERNACIONAL
IWS - WEST HOUSTON,HOUSTON / USTX,INTERNACIONAL
HOU - WILLIAM P HOBBY,HOUSTON / USTX,INTERNACIONAL
TNT - DADE-COLLIER T T APT,MIAM I/ USFL,INTERNACIONAL
TMB - MIAMI EXECUTIVE,MIAMI / USFL,INTERNACIONAL
MIA - MIAMI INTL,MIAM I/ USFL,INTERNACIONAL
OPF - OPA LOCKA EXECUTIVE,MIAMI / USFL,INTERNACIONAL
MPB - SEAPLANE BASE,MIAMI / USFL,INTERNACIONAL
PYH - CACIQUE ARAMARE,PUERTO AYACUCHO / VE,NACIONAL
UIO - MARISCAL SUCRE INTL,QUITO / EC,INTERNACIONAL
SPC - LA PALMA,SANTA CRUZ DE LA PALMA / ES,INTERNACIONAL
ACA - JUAN N. ALVAREZ INTL,ACAPULCO  /MX,INTERNACIONAL
AMS - SCHIPHOL AIRPORT,AMSTERDAM / NL,INTERNACIONAL
AUC - SANTIAGO PEREZ QUIROZ,ARAUCA / CO,INTERNACIONAL
AUA - REINA BEATRIX,ARUBA / AW,INTERNACIONAL
ASU - SILVIO PETTIROSSI INTL,ASUNCION / PY,INTERNACIONAL
AYP - ALFREDO M DUARTE,AYACUCHO / PE,INTERNACIONAL
BCN - AIRPORT EL PRAT,BARCELONA / ES,INTERNACIONAL
BLA - GENERAL JA ANZOATEGUI,BARCELONA / VE,NACIONAL
BNS - BARINAS,BARINAS / VE,NACIONAL
BRM - JACINTO LARA INTL,BARQUISIMETO / VE,NACIONAL
BOG - EL DORADO INTL,BOGOTA / CO,INTERNACIONAL
BSB - J.KUBITSCHEK INTL,BRASILIA  / BRDF,INTERNACIONAL
EZE - PISTARINI,BUENOS AIRES / ARBA,INTERNACIONAL
AEP - J. NEWBERY,BUENOS AIRES / ARBA,INTERNACIONAL
CAJ - CANAIMA,CANAIMA / VE,NACIONAL
CUN - INTERNATIONAL,CANCUN / MX,INTERNACIONAL
CCS - SIMON BOLIVAR INTL,CARACAS/ VE,NACIONAL
CTG - RAFAEL NUNEZ INTL,CARTAGENA / CO,INTERNACIONAL
RFD - CHICAGO ROCKFORD INTL,CHICAGO / USIL,INTERNACIONAL
DPA - DUPAGE,CHICAGO / USIL,INTERNACIONAL
PWK - EXECUTIVE,CHICAGO / USIL,INTERNACIONAL
CGX - MERRILL C MEIGS,CHICAGO / USIL,INTERNACIONAL
MDW - MIDWAY INTERNATIONAL,CHICAGO / USIL,INTERNACIONAL
ORD - O HARE INTERNATIONAL,CHICAGO / USIL,INTERNACIONAL
CBL - TOMÁS DE HERES,CIUDAD BOLÍVAR/ VE,NACIONAL
CZE - JOSE LEONARDO CHIRINOS,CORO / VE,NACIONAL
CUC - CAMILO DAZA,CUCUTA / CO,INTERNACIONAL
CUM - ANTONIO JOSÉ DE SUCRE,CUMANA / VE,NACIONAL
CUR - HATO INTL,CURACAO / CW,INTERNACIONAL
VIG - JUAN PABLO PÉREZ ALFONZO,EL VIGIA-MERIDA / VE,NACIONAL
HHN - HAHN AIRPORT,FRANKFURT/ DE,INTERNACIONAL
FRA - FRANKFURT INTL,FRANKFURT/ DE,INTERNACIONAL
FNC - MADEIRA,FUNCHAL / PT,INTERNACIONAL
GDL - MIGUEL HIDALGO INTL,GUADALAJARA / MX,INTERNACIONAL
GYE - JOSE JOAQUIN DE OLMEDO,GUAYAQUIL / EC,INTERNACIONAL
HAV - JOSE MARTI INTL,HAVANA / CU,INTERNACIONAL
UPB - PLAYA BARACOA,HAVANA / CU,INTERNACIONAL
LFR - LA FRIA,LA FRIA TACHIRA / VE,NACIONAL
LPB - EL ALTO INTL,LA PAZ / BO,INTERNACIONAL
LRM - CASA DE CAMPO INTL,LA ROMANA / DO,INTERNACIONAL
LIM - JORGE CHAVEZ INTL,LIMA / PE,INTERNACIONAL
LIS - AIRPORT,LISBON / PT,INTERNACIONAL
BQH - BIGGIN HILL,LONDON / GB,INTERNACIONAL
LGW - GATWICK,LONDON / GB,INTERNACIONAL
LHR - HEATHROW,LONDON / GB,INTERNACIONAL
LCY - LONDON CITY APT,LONDON / GB,INTERNACIONAL
LTN - LUTON,LONDON / GB,INTERNACIONAL
SEN - SOUTHEND,LONDON / GB,INTERNACIONAL
STN - STANSTED,LONDON / GB,INTERNACIONAL
LVR - LOS ROQUES,LOS ROQUES / VE,NACIONAL
MAD - ADOLFO SUAREZ BARAJAS,MADRID / ES,INTERNACIONAL
TOJ - TORREJON,MADRID / ES,INTERNACIONAL
MGA - AUGUSTO C.SANDINO INT,MANAGUA / NI,INTERNACIONAL
MAO - EDUARDO GOMES,MANAUS / BRAM,INTERNACIONAL
MAR - LA CHINITA INTL,MARACAIBO / VE,NACIONAL
MUN - JOSE T. MONAGAS INTL,MATURIN / VE,NACIONAL
MDE - JOSE MARIA CORDOVA INT,MEDELLIN / CO,INTERNACIONAL
AZP - ATIZAPAN-JIMENEZ CANTU,MEXICO CITY / MX,INTERNACIONAL
MEX - BENITO JUAREZ INTL,MEXICO CITY / MX,INTERNACIONAL
NLU - SANTA LUCIA AFB,MEXICO CITY / MX,INTERNACIONAL
TLC - TOLUCA A.LOPEZ MATEOS,MEXICO CITY / MX,INTERNACIONAL
BGY - BERGAMO ORIO AL SERIO,MILAN / IT,INTERNACIONAL
LIN - LINATE,MILAN / IT,INTERNACIONAL
MXP - MALPENSA,MILAN / IT,INTERNACIONAL
PMF - PARMA,MILAN / IT,INTERNACIONAL
NTR - DEL NORTE INTL,MONTERREY / MX,INTERNACIONAL
MTY - MARIANO ESCOBEDO INTL,MONTERREY  /MX,INTERNACIONAL
MVD - CARRASCO,MONTEVIDEO / UY,INTERNACIONAL
YMX - MIRABEL INTL/CAQC,MONTREAL / CAQC,INTERNACIONAL
YUL - PIERRE E. TRUDEAU INTL,MONTREAL / CAQC,INTERNACIONAL
YHU - ST HUBERT,MONTREAL /CAQC,INTERNACIONAL
AGB - AIRPORT,MUNICH / DE,INTERNACIONAL
MUC - MUNICH INTERNATIONAL,MUNICH / DE,INTERNACIONAL
NBP - BATTERY PK CITY FERRY,NEW YORK / USNY,INTERNACIONAL
NES - EAST 34ST FERRY,NEW YORK / USNY,INTERNACIONAL
JFK - JOHN F KENNEDY INTL,NEW YORK / USNY,INTERNACIONAL
LGA - LAGUARDIA,NEW YORK / USNY,INTERNACIONAL
EWR - NEWARK LIBERTY INTL,NEW YORK / USNY,INTERNACIONAL
NWS - PIER 11 WALL ST FERRY,NEW YORK / USNY,INTERNACIONAL
SWF - STEWART INTERNATIONAL,NEW YORK  /USNY,INTERNACIONAL
DWS - DISNEY WORLD,ORLANDO / USFL,INTERNACIONAL
ORL - EXECUTIVE,ORLANDO / USFL,INTERNACIONAL
ISM - KISSIMMEE GATEWAY,ORLANDO / USFL,INTERNACIONAL
MCO - ORLANDO INTL,ORLANDO / USFL,INTERNACIONAL
SFB - SANFORD INTL,ORLANDO / USFL,INTERNACIONAL
YND - GATINEAU,OTTAWA / CAON,INTERNACIONAL
YOW - MACDONALD CARTIER INTL,OTTAWA / CAON,INTERNACIONAL
YRO - ROCKCLIFFE,OTTAWA / CAON,INTERNACIONAL
PAC - MARCOS A GELABERT INTL,PANAMA CITY / PA,INTERNACIONAL
PTY - TOCUMEN INTL,PANAMA CITY / PA,INTERNACIONAL
BVA - BEAUVAIS TILLE,PARIS / FR,INTERNACIONAL
XCR - CHALONS VATRY,PARIS  /FR,INTERNACIONAL
CDG - CHARLES DE GAULLE,PARIS / FR,INTERNACIONAL
LBG - LE BOURGET,PARIS / FR,INTERNACIONAL
ORY - ORLY,PARIS / FR,INTERNACIONAL
POX - PONTOISE CORMEILLES,PARIS / FR,INTERNACIONAL
TNF - TOUSSUS LE NOBLE,PARIS / FR,INTERNACIONAL
VIY - VILLACOUBLAY VELIZY,PARIS / FR,INTERNACIONAL
PMV - DEL CARIBE SANTIAGO MARIÑO,PORLAMAR / VE,NACIONAL
POS - PIARCO INTL,PORT OF SPAIN / TT,INTERNACIONAL
OPO - FRANCISCO SA CARNEIRO,PORTO / PT,INTERNACIONAL
POA - SALGADO FILHO INTL,PORTO ALEGRE / BRRS,INTERNACIONAL
PBL - BARTOLOME SALOM INTL,PUERTO CABELLO / VE,NACIONAL
PZO - MANUEL CARLOS PIAR,PUERTO ORDAZ / VE,NACIONAL
PUJ - INTERNATIONAL,PUNTA CANA / DO,INTERNACIONAL
LSP - LAS PIEDRAS JOSEFA CAMEJO,PUNTO FIJO / VE,NACIONAL
YQB - JEAN LESAGE INTL,QUEBEC / CAQC,INTERNACIONAL
GIG - GALEAO AC JOBIM INTL,RIO DE JANEIRO / BRRJ,INTERNACIONAL
SNZ - SANTA CRUZ AB,RIO DE JANEIRO / BRRJ,INTERNACIONAL
SDU - SANTOS DUMONT,RIO DE JANEIRO / BRRJ,INTERNACIONAL
CIA - CIAMPINO,ROME / IT,INTERNACIONAL
FCO - FIUMICINO,ROME / IT,INTERNACIONAL
SSA - D.L.E.MAGALHAES,SALVADOR / BRBA,INTERNACIONAL
SNF - NESTOR ARIAS,SAN FELIPE / VE,NACIONAL
SFD - LAS FLACHERAS,SAN FERNANDO APURE / VE,NACIONAL
SFO - SAN FRANCISCO INTL,SAN FRANCISCO / USCA,INTERNACIONAL
SJO - JUAN SANTAMARIA,SAN JOSE / CR,INTERNACIONAL
SYQ - TOBIAS BOLANOS INTL,SAN JOSE / CR,INTERNACIONAL
SIG - F.L. RIBAS DOMINICCI,SAN JUAN / PR,INTERNACIONAL
SJU - LUIS MUNOZ MARIN,SAN JUAN / PR,INTERNACIONAL
SAL - EL SALVADOR INTL,SAN SALVADOR / SV,INTERNACIONAL
SOM - DON EDMUNDO BARRIOS,SAN TOME / VE,NACIONAL
SCL - A MERINO BENITEZ,SANTIAGO / CL,INTERNACIONAL
SCQ - SANTIAGO DE COMPOSTELA,SANTIAGO DE COMPOSTELA / ES,INTERNACIONAL
SCU - ANTONIO MACEO INTL,SANTIAGO DE CUBA / CU,INTERNACIONAL
STI - CIBAO INTL,SANTIAGO / DO,INTERNACIONAL
SDQ - LAS AMERICAS INTL,SANTO DOMINGO / DO,INTERNACIONAL
STD - BUENAVENTURA VIVAS,SANTO DOMINGO / VE,NACIONAL
OLC - SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA / BRAM,INTERNACIONAL
CGH - CONGONHAS,SAO PAULO / BRSP,INTERNACIONAL
GRU - GUARULHOS INTL,SAO PAULO / BRSP,INTERNACIONAL
VCP - VIRACOPOS CAMPINAS INT,SAO PAULO / BRSP,INTERNACIONAL
SHA - HONGQIAO INTL,SHANGHAI / CN,INTERNACIONAL
PVG - PUDONG INTL,SHANGHAI / CN,INTERNACIONAL
SER - ALCANTARI,SUCRE / BO,INTERNACIONAL
TFN - TENERIFE NORTE,TENERIFE / ES,INTERNACIONAL
TFS - TENERIFE SUR,TENERIFE / ES,INTERNACIONAL
NRT - NARITA INTL,TOKYO / JP,INTERNACIONAL
HND - TOKYO INTL HANEDA,TOKYO / JP,INTERNACIONAL
YTZ - BILLY BISHOP CITY A,TORONTO / CAON,INTERNACIONAL
YKZ - BUTTONVILLE MUNICIPAL,TORONTO /CAON,INTERNACIONAL
YHM - HAMILTON JC MUNRO INTL,TORONTO / CAON,INTERNACIONAL
YYZ - LESTER B. PEARSON INTL,TORONTO / CAON,INTERNACIONAL
YKF - REGION OF WATERLOO INT,TORONTO/CAON,INTERNACIONAL
TUV - SAN RAFAEL,TUCUPITA / VE,NACIONAL
VLC - ALENCIA AIRPORT,VALENCIA / ES,INTERNACIONAL
VLN - ARTURO MICHELENA INTL,VALENCIA / VE,NACIONAL
VLV - ANTONIO N.BRICENO,VALERA / VE,NACIONAL
YDT - BOUNDARY BAY,VANCOUVER / CABC,INTERNACIONAL
CXH - HARBOUR SPB,VANCOUVER / CABC,INTERNACIONAL
YVR - INTERNATIONAL,VANCOUVER / CABC,INTERNACIONAL
